what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1362686883083
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1362686883083
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1362686883084
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1362686883084
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1362686883085
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1362686883085
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1362686883085
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1362686883086
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1362686883086
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1362686883086
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1362686883087
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1362686883087
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1362686883087
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1362686883088
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1362686883088
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1362686883089
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1362686883089
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1362686883089
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1362686883089
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1362686883090
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1362686883090
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1362686883090
os,sysinfo,,,"win32",1362686883093
arch,sysinfo,,,"x86_64",1362686883093
ws,sysinfo,,,"win32",1362686883093
locale,sysinfo,,,"de_DE",1362686883093
processors,sysinfo,,,"4",1362686883093
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362686883093
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1362686883093
java.specification.name,sysinfo,,,"Java Platform API Specification",1362686883093
java.specification.vendor,sysinfo,,,"Oracle Corporation",1362686883093
java.specification.version,sysinfo,,,"1.7",1362686883093
java.vendor,sysinfo,,,"Oracle Corporation",1362686883093
java.version,sysinfo,,,"1.7.0_07",1362686883093
java.vm.info,sysinfo,,,"mixed mode",1362686883093
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1362686883093
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362686883093
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1362686883093
java.vm.specification.version,sysinfo,,,"1.7",1362686883093
java.vm.vendor,sysinfo,,,"Oracle Corporation",1362686883093
java.vm.version,sysinfo,,,"23.3-b01",1362686883093
error,log,,,"File is Out of sync",1362686883931
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1362686883944
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362686883981
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1362686884320
error,log,,,"File is Out of sync",1362686884413
error,log,,,"JavaBuilder handling ImageBuilderInternalException while building: FireFighter.STMK",1362686884423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362686885208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362686895040
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362686897149
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1362686899262
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362686900151
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1362686900273
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1362686900274
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1362686900283
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1362686900283
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1362686900313
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1362686900315
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1362686900360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362686907739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362686913981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362686914373
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1362686920582
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1362686920647
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1362686920673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362686921094
